"date","close","volume","open","high","low"
"2015/02/12","3.1200","12972490.0000","3.0800","3.1500","3.0500"
"2015/02/11","3.0700","11739790.0000","3.0300","3.1000","3.0000"
"2015/02/10","3.0400","13955380.0000","3.0700","3.1000","3.0100"
"2015/02/09","3.0400","24111050.0000","3.0300","3.0700","2.9300"
"2015/02/06","3.0300","38132570.0000","3.2000","3.2100","3.0000"
"2015/02/05","3.3100","73180050.0000","2.8800","3.3700","2.8700"
"2015/02/04","2.8500","34828280.0000","2.7800","2.9200","2.7600"
"2015/02/03","2.7600","22588940.0000","2.7000","2.8000","2.6800"
"2015/02/02","2.6700","25623000.0000","2.6900","2.7500","2.6500"
"2015/01/30","2.5700","12908080.0000","2.5600","2.6000","2.5100"
"2015/01/29","2.6100","17790200.0000","2.6300","2.6900","2.5100"
"2015/01/28","2.6300","24777570.0000","2.7100","2.7500","2.6000"
"2015/01/27","2.7000","51802420.0000","2.5800","2.8400","2.5600"
"2015/01/26","2.6100","36557460.0000","2.4400","2.6400","2.4400"
"2015/01/23","2.4500","11104020.0000","2.4800","2.5000","2.4300"
"2015/01/22","2.4700","36166280.0000","2.4200","2.5000","2.3700"
"2015/01/21","2.4500","46522910.0000","2.1800","2.4500","2.1400"
"2015/01/20","2.2400","56671860.0000","2.3900","2.4300","2.1900"
"2015/01/16","2.3900","30172610.0000","2.5200","2.5300","2.3900"
"2015/01/15","2.5200","17718760.0000","2.6200","2.6500","2.4900"
"2015/01/14","2.6300","9986012.0000","2.6000","2.6600","2.5800"
"2015/01/13","2.6600","17886250.0000","2.6400","2.6800","2.6000"
"2015/01/12","2.6300","9970828.0000","2.6200","2.6400","2.5500"
"2015/01/09","2.6300","8907568.0000","2.6300","2.6400","2.5800"
"2015/01/08","2.6100","11128830.0000","2.5900","2.6450","2.5600"
"2015/01/07","2.5800","12373330.0000","2.6300","2.6500","2.5400"
"2015/01/06","2.6300","13916650.0000","2.6500","2.6600","2.5500"
"2015/01/05","2.6600","8836156.0000","2.6700","2.7000","2.6400"
"2015/01/02","2.6900","8308172.0000","2.7000","2.7300","2.6400"
"2014/12/31","2.6700","11176420.0000","2.6400","2.7000","2.6400"
"2014/12/30","2.6300","7779228.0000","2.6400","2.6950","2.6300"
"2014/12/29","2.6600","8526993.0000","2.6400","2.6600","2.6300"
"2014/12/26","2.6500","4025955.0000","2.6500","2.6850","2.6500"
"2014/12/24","2.6500","4624005.0000","2.6300","2.7000","2.6300"
"2014/12/23","2.6700","8276449.0000","2.6900","2.7200","2.6600"
"2014/12/22","2.6600","15029630.0000","2.5500","2.6800","2.5200"
"2014/12/19","2.5700","14681910.0000","2.5300","2.5700","2.5100"
"2014/12/18","2.5500","12396250.0000","2.5800","2.5900","2.5400"
"2014/12/17","2.5500","12521260.0000","2.5000","2.5700","2.4600"
"2014/12/16","2.5000","17049330.0000","2.4400","2.5300","2.4200"
"2014/12/15","2.4700","19624310.0000","2.5200","2.6000","2.4600"
"2014/12/12","2.5200","21209540.0000","2.4600","2.5500","2.3500"
"2014/12/11","2.4900","10149260.0000","2.5100","2.5400","2.4600"
"2014/12/10","2.4800","17683630.0000","2.5800","2.5800","2.4600"
"2014/12/09","2.5900","22918520.0000","2.5500","2.5900","2.4900"
"2014/12/08","2.5800","25392300.0000","2.6500","2.6800","2.5200"
"2014/12/05","2.6600","9445695.0000","2.6900","2.7000","2.6600"
"2014/12/04","2.6900","15538960.0000","2.7500","2.7500","2.6600"
"2014/12/03","2.7400","18256490.0000","2.7100","2.8200","2.6900"
"2014/12/02","2.6800","12437740.0000","2.6900","2.7100","2.6100"
"2014/12/01","2.6700","16013070.0000","2.7700","2.7900","2.6400"
"2014/11/28","2.7900","5665011.0000","2.8500","2.8500","2.7700"
"2014/11/26","2.8400","10553450.0000","2.8100","2.8400","2.8000"
"2014/11/25","2.8300","11071560.0000","2.8400","2.8600","2.7600"
"2014/11/24","2.8300","12292640.0000","2.8000","2.8500","2.8000"
"2014/11/21","2.7700","11310550.0000","2.7200","2.7700","2.7100"
"2014/11/20","2.6900","15043310.0000","2.6000","2.7200","2.5900"
"2014/11/19","2.6300","10318360.0000","2.6800","2.6800","2.6100"
"2014/11/18","2.6500","14956310.0000","2.6900","2.7300","2.6300"
"2014/11/17","2.6700","12591610.0000","2.6200","2.6900","2.6100"
"2014/11/14","2.6100","12345720.0000","2.6750","2.7000","2.6100"
"2014/11/13","2.6600","10908430.0000","2.7100","2.7400","2.6500"
"2014/11/12","2.7100","15858140.0000","2.7300","2.7500","2.6500"
"2014/11/11","2.7300","8113460.0000","2.7800","2.7900","2.7200"
"2014/11/10","2.7600","12591390.0000","2.7800","2.8100","2.7500"
"2014/11/07","2.7800","7292980.0000","2.7700","2.8000","2.7600"
"2014/11/06","2.7600","8929950.0000","2.7800","2.8000","2.7500"
"2014/11/05","2.8000","9633141.0000","2.8500","2.8700","2.7700"
"2014/11/04","2.8300","12524310.0000","2.9000","2.9050","2.7500"
